Segment,Mapping,Annual_Salary,Gender,Education,Living_Region,Age,Online_Consumer,Online_Service_Preference,AI_Endorsement,AI_Privacy_No_Trust ,AI_Enhance_Experience,AI_Satisfication,AI_Tools_Used _Chatbots,AI_Tools_Used_Virtual_Assistant,AI_Tools_Used_Voice&Photo_Search,Number of AI Tools Used,Payment_Method_Credit/Debit,Payment_Method_COD,Payment_Method_Ewallet,Number of Payment Methods Used,Product_Category_Appliances,Product_Category_Electronics,Product_Category_Groceries,Product_Category_Personal_Care,Product_Category_Clothing,Review Rating,Frequency of Purchases (Days),Previous Purchases,Purchase Amount,AI_Tools Applied,Item Purchased,Category,Size,Color,Season,Shipping Type,Frequency of Purchases
Female_Gen X_Metropolitan_Medium,Female_Gen X,Medium,Female,Highschool Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,4,30,42,73.5,Yes,Backpack,Accessories,M,Black,Winter,Next Day Air,Monthly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,University Graduate,Suburban Areas,Gen X,1,1,1,0,1,1,0,0,1,1,0,1,1,2,0,0,0,1,1,3.8,14,1,108,Yes,Sweater,Clothing,M,Yellow,Fall,Express,Bi-Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Masters? Degree,Metropolitan,Gen X,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,4,14,16,102,Yes,Sunglasses,Accessories,L,Beige,Winter,Express,Bi-Weekly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,14,15,36,Yes,Shirt,Clothing,M,Black,Summer,Express,Bi-Weekly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,1,1,0,2,0,1,0,1,0,1,1,1,1,4.8,90,11,123,Yes,Dress,Clothing,M,Silver,Summer,Next Day Air,Every 3 Months
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,1,1,1,1,1,1,1,0,1,2,0,0,1,1,0,1,0,1,1,4.3,14,36,48,Yes,Gloves,Accessories,L,Red,Spring,2-Day Shipping,Bi-Weekly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,Masters? Degree,Suburban Areas,Gen X,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,3.7,14,23,118.5,Yes,Skirt,Clothing,M,Lavender,Winter,Store Pickup,Fortnightly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Doctorate Degree,Metropolitan,Gen X,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,4,30,17,147,Yes,Belt,Accessories,S,Peach,Fall,Store Pickup,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,4.3,7,21,148.5,Yes,Sweater,Clothing,M,Pink,Winter,Express,Weekly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Highschool Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,3.8,30,35,78,Yes,Pants,Clothing,L,Orange,Winter,Store Pickup,Monthly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.6,14,22,126,Yes,Sunglasses,Accessories,S,Maroon,Fall,Store Pickup,Bi-Weekly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,Highschool Graduate,Suburban Areas,Gen X,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,4,30,19,51,Yes,T-shirt,Clothing,M,White,Spring,Next Day Air,Monthly
Female_Gen X_Metropolitan_Low,Female_Gen X,Low,Female,University Graduate,Metropolitan,Gen X,1,1,1,0,1,1,1,1,0,2,0,1,1,2,1,0,1,1,1,3.8,14,11,111,Yes,Belt,Accessories,M,Lavender,Fall,Express,Bi-Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,1,0,1,2,1,0,0,1,0,1,1,1,0,4,7,17,111,Yes,Socks,Clothing,S,Beige,Fall,Express,Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,5,14,11,148.5,Yes,Hoodie,Clothing,L,Black,Summer,Store Pickup,Bi-Weekly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4,30,5,85.5,Yes,Handbag,Accessories,L,Red,Winter,Next Day Air,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Doctorate Degree,Metropolitan,Gen X,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,5,14,4,100.5,Yes,Jacket,Outerwear,L,Pink,Winter,Express,Fortnightly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,4,30,18,48,Yes,Shorts,Clothing,L,Teal,Spring,2-Day Shipping,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,1,0,1,2,1,1,1,1,1,4,14,12,40.5,Yes,Jacket,Outerwear,M,Pink,Winter,Free Shipping,Fortnightly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,Highschool Graduate,Suburban Areas,Gen X,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,3.9,30,15,69,Yes,Jacket,Outerwear,M,Olive,Summer,Free Shipping,Monthly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Masters? Degree,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.9,14,15,49.5,Yes,Handbag,Accessories,S,Olive,Fall,2-Day Shipping,Bi-Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Masters? Degree,Metropolitan,Gen X,1,1,1,0,1,0,1,1,0,2,1,1,0,2,0,1,0,0,0,4.3,7,2,94.5,Yes,Handbag,Accessories,L,Magenta,Fall,2-Day Shipping,Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3.5,90,47,57,Yes,Sunglasses,Accessories,L,Olive,Winter,Standard,Every 3 Months
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,1,1,0,1,1,1,1,1,3,1,0,0,1,1,1,1,1,1,4,7,5,76.5,Yes,Jeans,Clothing,M,Gold,Spring,Free Shipping,Weekly
Female_Gen X_Rural Areas_High,Female_Gen X,High,Female,University Graduate,Rural Areas,Gen X,1,1,1,0,1,1,1,0,0,1,0,1,1,2,1,1,1,1,1,4,14,11,61.5,Yes,Sweater,Clothing,M,Blue,Winter,Express,Bi-Weekly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,Highschool Graduate,Suburban Areas,Gen X,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,4.2,30,47,127.5,Yes,T-shirt,Clothing,XL,White,Summer,Express,Monthly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,University Graduate,Suburban Areas,Gen X,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,4,7,3,138,Yes,Gloves,Accessories,M,Charcoal,Spring,Express,Weekly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,4.2,30,26,142.5,Yes,Dress,Clothing,M,Orange,Winter,Free Shipping,Monthly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,1,1,2,1,0,0,1,0,1,1,0,1,4.8,14,33,150,Yes,Hoodie,Clothing,M,Green,Spring,Free Shipping,Fortnightly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,University Graduate,Suburban Areas,Gen X,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,3.4,14,14,103.5,Yes,Sneakers,Footwear,M,Violet,Spring,Standard,Bi-Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,0,1,1,1,1,1,3,0,1,1,2,1,1,1,1,1,4,90,23,78,Yes,Sneakers,Footwear,L,Silver,Fall,Free Shipping,Every 3 Months
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,4.7,14,42,67.5,Yes,Dress,Clothing,M,Gray,Summer,Free Shipping,Bi-Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Masters? Degree,Metropolitan,Gen X,1,1,1,1,1,1,0,1,0,1,0,1,1,2,0,1,1,1,1,4,14,2,43.5,Yes,Skirt,Clothing,M,Yellow,Spring,Express,Bi-Weekly
Female_Gen X_Metropolitan_Low,Female_Gen X,Low,Female,Highschool Graduate,Metropolitan,Gen X,1,1,1,0,1,1,0,0,0,0,1,1,0,2,1,0,1,0,0,2.9,90,6,93,Yes,Scarf,Accessories,L,Green,Fall,Free Shipping,Every 3 Months
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Doctorate Degree,Metropolitan,Gen X,1,1,1,1,1,1,0,1,1,2,1,1,1,3,1,1,1,1,1,3.3,30,31,66,Yes,T-shirt,Clothing,M,Violet,Winter,Free Shipping,Monthly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,Doctorate Degree,Suburban Areas,Gen X,1,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,1,0,1,4.7,90,12,109.5,Yes,Shorts,Clothing,M,Turquoise,Fall,Next Day Air,Every 3 Months
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,Masters? Degree,Suburban Areas,Gen X,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,4,14,40,64.5,Yes,Shorts,Clothing,S,Black,Summer,2-Day Shipping,Bi-Weekly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,University Graduate,Suburban Areas,Gen X,1,1,1,1,1,1,1,0,1,2,1,0,0,1,1,0,1,0,0,3,14,21,54,Yes,Belt,Accessories,S,Teal,Summer,Express,Bi-Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Masters? Degree,Metropolitan,Gen X,1,1,1,0,1,1,1,1,1,3,0,1,0,1,1,1,1,0,1,4.3,7,6,30,Yes,Belt,Accessories,XL,Teal,Summer,2-Day Shipping,Weekly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Masters? Degree,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3.2,30,42,106.5,Yes,Sweater,Clothing,L,Maroon,Spring,Express,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,0,1,1,1,1,0,0,0,0,1,1,0,2,1,1,1,1,1,3.2,30,43,55.5,Yes,Scarf,Accessories,S,Indigo,Spring,Store Pickup,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,7,2,139.5,Yes,Shirt,Clothing,L,Green,Summer,Express,Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,1,1,0,2,1,0,0,1,1,1,0,0,1,4,14,32,114,Yes,Shirt,Clothing,M,Magenta,Fall,Store Pickup,Fortnightly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,1,1,2,1,0,1,2,0,1,1,0,1,4,30,34,57,Yes,Pants,Clothing,S,Indigo,Fall,2-Day Shipping,Monthly
Female_Gen X_Rural Areas_Medium,Female_Gen X,Medium,Female,Masters? Degree,Rural Areas,Gen X,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,3.9,14,14,30,Yes,Sweater,Clothing,M,Cyan,Spring,Store Pickup,Fortnightly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,Highschool Graduate,Suburban Areas,Gen X,1,1,1,0,1,1,1,0,0,1,1,0,1,2,0,0,0,1,1,4,90,20,69,Yes,Dress,Clothing,S,Purple,Spring,Store Pickup,Quarterly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,University Graduate,Suburban Areas,Gen X,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,4.2,90,20,73.5,Yes,Belt,Accessories,S,Green,Summer,Express,Every 3 Months
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,0,1,0,1,1,0,2,1,0,0,1,0,0,0,1,1,4.9,30,41,84,Yes,Sweater,Clothing,S,Orange,Summer,Standard,Monthly
Female_Gen X_Suburban Areas_Medium,Female_Gen X,Medium,Female,University Graduate,Suburban Areas,Gen X,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,4.2,30,33,97.5,Yes,Handbag,Accessories,S,Purple,Spring,Store Pickup,Monthly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,4,30,22,33,Yes,Shoes,Footwear,L,Olive,Winter,Standard,Monthly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,1,1,0,1,1,2,1,0,1,2,1,1,0,1,1,4.7,90,19,37.5,Yes,Gloves,Accessories,L,Maroon,Spring,2-Day Shipping,Every 3 Months
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,University Graduate,Suburban Areas,Gen X,1,1,1,1,1,1,1,0,0,1,1,1,0,2,1,1,1,1,1,4.3,90,12,61.5,Yes,Dress,Clothing,M,Purple,Fall,Store Pickup,Every 3 Months
Female_Gen X_Metropolitan_Low,Female_Gen X,Low,Female,Masters? Degree,Metropolitan,Gen X,1,1,1,1,1,1,0,1,1,2,1,0,0,1,1,1,0,1,0,4.5,90,36,99,Yes,Sandals,Footwear,M,Charcoal,Spring,Store Pickup,Every 3 Months
Female_Gen X_Suburban Areas_Medium,Female_Gen X,Medium,Female,University Graduate,Suburban Areas,Gen X,1,0,1,1,1,1,0,0,0,0,1,0,1,2,1,1,0,0,0,2.5,14,3,118.5,Yes,Shirt,Clothing,M,Teal,Summer,2-Day Shipping,Bi-Weekly
Female_Gen X_Rural Areas_High,Female_Gen X,High,Female,Masters? Degree,Rural Areas,Gen X,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,4.4,30,10,61.5,Yes,Shoes,Footwear,M,Turquoise,Summer,Express,Monthly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,University Graduate,Suburban Areas,Gen X,1,0,1,0,0,0,0,1,1,2,1,0,0,1,0,1,0,1,1,3.9,30,29,118.5,Yes,Skirt,Clothing,L,Peach,Fall,Free Shipping,Monthly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,Highschool Graduate,Suburban Areas,Gen X,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,2.8,30,9,49,No,Shirt,Clothing,L,Turquoise,Winter,Next Day Air,Monthly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,University Graduate,Suburban Areas,Gen X,1,1,1,0,0,1,0,0,0,0,0,1,1,2,1,1,1,1,1,2.6,14,36,102,Yes,Hoodie,Clothing,S,Cyan,Winter,Express,Fortnightly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,0,0,0,1,1,0,2,0,1,0,1,1,1,0,1,0,2.8,7,17,25,No,Scarf,Accessories,L,Silver,Spring,2-Day Shipping,Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,4,30,24,49.5,Yes,Belt,Accessories,L,Green,Spring,Standard,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,4,7,21,60,Yes,Shoes,Footwear,L,Black,Spring,Store Pickup,Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,4.8,30,49,51,Yes,Jewelry,Accessories,M,Blue,Winter,Free Shipping,Monthly
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,Highschool Graduate,Suburban Areas,Gen X,1,1,1,0,0,0,0,1,1,2,1,0,0,1,1,1,0,1,1,4,30,10,109.5,Yes,T-shirt,Clothing,XL,Black,Winter,Free Shipping,Monthly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,University Graduate,Suburban Areas,Gen X,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,3.7,30,37,96,Yes,Shirt,Clothing,L,Indigo,Winter,Free Shipping,Monthly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,Highschool Graduate,Suburban Areas,Gen X,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,4.6,7,14,148.5,Yes,Scarf,Accessories,L,Maroon,Fall,Free Shipping,Weekly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,0,0,0,0,1,1,2,1,1,1,3,0,1,0,0,0,4.7,30,12,20,No,Coat,Outerwear,M,White,Spring,Free Shipping,Monthly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,0,0,0,0,1,0,1,1,1,0,2,1,1,0,1,1,4,30,26,109.5,Yes,Handbag,Accessories,M,Lavender,Summer,Next Day Air,Monthly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,University Graduate,Suburban Areas,Gen X,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,3.3,7,44,94,No,Dress,Clothing,M,Teal,Summer,Store Pickup,Weekly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Highschool Graduate,Metropolitan,Gen X,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,4.4,90,35,76,No,Jewelry,Accessories,S,Indigo,Spring,Free Shipping,Every 3 Months
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,0,0,0,0,1,1,2,0,1,0,1,0,0,1,0,1,4.3,90,10,142.5,Yes,Gloves,Accessories,M,Magenta,Summer,Standard,Every 3 Months
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,0,0,0,1,1,0,2,1,1,0,2,0,1,0,0,1,4.1,30,2,96,Yes,Shorts,Clothing,M,Black,Spring,Express,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,University Graduate,Metropolitan,Gen X,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,360,36,79,No,Sweater,Clothing,M,Silver,Spring,Store Pickup,Annually
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,3.8,30,42,76.5,Yes,Sweater,Clothing,M,Indigo,Winter,2-Day Shipping,Monthly
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Highschool Graduate,Metropolitan,Gen X,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,3.7,90,6,57,Yes,Hoodie,Clothing,M,Silver,Fall,2-Day Shipping,Every 3 Months
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,Highschool Graduate,Suburban Areas,Gen X,1,1,0,1,1,1,1,1,0,2,0,0,1,1,1,1,1,1,1,4.8,360,31,35,Yes,Socks,Clothing,XL,Magenta,Fall,2-Day Shipping,Annually
Female_Gen X_Metropolitan_High,Female_Gen X,High,Female,Masters? Degree,Metropolitan,Gen X,1,1,0,1,1,1,1,1,0,2,1,0,0,1,1,1,1,1,1,5,14,28,24,Yes,Dress,Clothing,L,Silver,Summer,Free Shipping,Bi-Weekly
Female_Gen X_Suburban Areas_Medium,Female_Gen X,Medium,Female,University Graduate,Suburban Areas,Gen X,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,3.8,14,2,35,Yes,Sandals,Footwear,M,Lavender,Summer,Standard,Bi-Weekly
Female_Gen X_Rural Areas_Medium,Female_Gen X,Medium,Female,Highschool Graduate,Rural Areas,Gen X,1,1,0,1,1,1,1,1,0,2,1,0,0,1,1,1,0,1,1,3.4,7,7,36,Yes,Sneakers,Footwear,M,Cyan,Winter,Free Shipping,Weekly
Female_Gen X_Metropolitan_Medium,Female_Gen X,Medium,Female,Highschool Graduate,Metropolitan,Gen X,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,3.6,90,26,29,Yes,Sandals,Footwear,M,Teal,Summer,Standard,Every 3 Months
Female_Gen X_Suburban Areas_Medium High,Female_Gen X,Medium High,Female,University Graduate,Suburban Areas,Gen X,1,1,0,1,1,1,0,0,0,0,1,0,1,2,1,1,0,1,1,4,30,17,31,Yes,Sunglasses,Accessories,L,Pink,Spring,Next Day Air,Monthly
Female_Gen X_Suburban Areas_Medium,Female_Gen X,Medium,Female,Masters? Degree,Suburban Areas,Gen X,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,4.4,360,5,71,Yes,Dress,Clothing,L,Maroon,Summer,Store Pickup,Annually
Female_Gen X_Suburban Areas_Medium,Female_Gen X,Medium,Female,Highschool Graduate,Suburban Areas,Gen X,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,2.9,7,12,45,Yes,Shorts,Clothing,M,Gray,Winter,Store Pickup,Weekly
Female_Gen X_Metropolitan_Medium High,Female_Gen X,Medium High,Female,University Graduate,Metropolitan,Gen X,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,2.6,14,17,63,Yes,Shorts,Clothing,L,Red,Summer,Standard,Bi-Weekly
Female_Gen X_Suburban Areas_High,Female_Gen X,High,Female,University Graduate,Suburban Areas,Gen X,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,4.5,90,8,30,No,Jewelry,Accessories,L,Red,Fall,Standard,Quarterly
Female_Gen X_Suburban Areas_Medium,Female_Gen X,Medium,Female,Masters? Degree,Suburban Areas,Gen X,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,4.3,90,36,127.5,Yes,Belt,Accessories,XL,Orange,Fall,Next Day Air,Every 3 Months
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,1,1,2,1,0,1,2,1,0,0,0,0,4.3,30,19,93,Yes,Sunglasses,Accessories,XL,Beige,Winter,Free Shipping,Monthly
